experience_years,age,projects_completed,training_hours,salary_lakh,experience_score,project_experience_ratio
4.3,36.0,4.0,66.0,11.0,0.215,0.7547169811320755
16.2,35.0,9.0,10.0,14.0,0.8099999999999999,0.5232558139534884
2.3,49.0,18.0,23.0,6.3,0.11499999999999999,5.454545454545455
2.3,48.0,14.0,32.0,8.1,0.11499999999999999,4.242424242424242
6.5,37.0,17.0,82.0,13.2,0.325,2.2666666666666666
4.0,44.0,11.0,96.0,7.3,0.2,2.2
7.6,45.0,10.0,74.0,12.0,0.38,1.1627906976744187
12.6,52.0,11.0,37.0,13.2,0.63,0.8088235294117647
4.1,49.0,1.0,74.0,8.5,0.205,0.19607843137254904
7.4,21.0,3.0,6.0,11.5,0.37,0.35714285714285715
7.1,55.0,1.0,49.0,8.8,0.355,0.1234567901234568
6.2,32.0,18.0,37.0,8.2,0.31,2.5
7.1,48.0,4.0,12.0,8.7,0.355,0.4938271604938272
12.2,41.0,2.0,44.0,11.0,0.61,0.15151515151515152
19.1,42.0,15.0,43.0,22.3,0.9550000000000001,0.7462686567164178
10.7,47.0,11.0,60.0,10.2,0.5349999999999999,0.9401709401709403
10.7,30.0,3.0,47.0,10.0,0.5349999999999999,0.25641025641025644
17.1,27.0,12.0,38.0,24.4,0.8550000000000001,0.6629834254143646
6.1,41.0,15.0,32.0,14.2,0.305,2.1126760563380285
19.9,22.0,13.0,65.0,19.0,0.9949999999999999,0.6220095693779905
17.8,50.0,11.0,85.0,20.4,0.89,0.5851063829787234
0.8,47.0,12.0,74.0,6.0,0.04,6.666666666666666
7.5,35.0,20.0,66.0,13.0,0.375,2.3529411764705883
12.6,40.0,6.0,67.0,16.5,0.63,0.4411764705882353
7.7,31.0,16.0,97.0,15.1,0.385,1.8390804597701151
5.3,27.0,15.0,34.0,11.1,0.265,2.380952380952381
18.9,31.0,16.0,86.0,25.7,0.945,0.8040201005025126
17.4,51.0,14.0,36.0,18.4,0.8699999999999999,0.7608695652173914
6.4,31.0,18.0,24.0,13.3,0.32,2.4324324324324325
6.5,52.0,11.0,89.0,11.8,0.325,1.4666666666666666
8.6,32.0,15.0,36.0,10.1,0.43,1.5625
10.7,40.0,7.0,39.0,10.2,0.5349999999999999,0.5982905982905983
10.8,26.0,19.0,21.0,16.1,0.54,1.6101694915254237
7.4,44.0,0.0,47.0,10.0,0.37,0.0
15.7,53.0,8.0,84.0,18.2,0.7849999999999999,0.47904191616766467
1.0,23.0,2.0,89.0,3.6,0.05,1.0
14.2,48.0,18.0,68.0,19.6,0.71,1.1842105263157896
4.8,54.0,9.0,50.0,10.6,0.24,1.5517241379310345
3.6,44.0,5.0,46.0,7.0,0.18,1.0869565217391306
8.1,22.0,5.0,86.0,12.0,0.40499999999999997,0.5494505494505495
4.7,57.0,15.0,87.0,11.2,0.23500000000000001,2.631578947368421
5.7,24.0,0.0,1.0,8.0,0.28500000000000003,0.0
0.9,34.0,10.0,71.0,4.9,0.045,5.2631578947368425
9.4,47.0,4.0,28.0,10.6,0.47000000000000003,0.3846153846153846
7.2,53.0,14.0,67.0,10.1,0.36,1.707317073170732
15.1,35.0,1.0,43.0,14.9,0.755,0.06211180124223602
18.6,37.0,3.0,3.0,17.7,0.93,0.1530612244897959
14.8,23.0,5.0,34.0,13.7,0.74,0.3164556962025316
7.7,29.0,9.0,23.0,14.5,0.385,1.0344827586206897
1.5,60.0,14.0,75.0,7.7,0.075,5.6
18.4,60.0,19.0,31.0,17.9,0.9199999999999999,0.9793814432989691
16.6,59.0,18.0,47.0,19.3,0.8300000000000001,1.0227272727272727
2.4,60.0,18.0,0.0,6.9,0.12,5.294117647058823
13.2,39.0,14.0,70.0,18.0,0.6599999999999999,0.9859154929577465
7.9,54.0,14.0,50.0,9.6,0.395,1.5730337078651684
18.8,22.0,5.0,63.0,21.0,0.9400000000000001,0.25252525252525254
16.5,41.0,14.0,83.0,20.7,0.825,0.8
1.9,32.0,15.0,73.0,5.6,0.095,5.172413793103448
11.2,40.0,2.0,12.0,14.6,0.5599999999999999,0.1639344262295082
13.1,59.0,2.0,37.0,16.0,0.655,0.14184397163120568
6.8,56.0,12.0,30.0,10.5,0.33999999999999997,1.5384615384615385
3.2,41.0,2.0,45.0,7.7,0.16,0.47619047619047616
3.1,21.0,10.0,20.0,7.3,0.155,2.439024390243903
11.8,52.0,9.0,10.0,10.9,0.5900000000000001,0.703125
1.5,59.0,18.0,46.0,8.9,0.075,7.2
3.1,42.0,3.0,24.0,4.0,0.155,0.7317073170731708
17.8,42.0,7.0,56.0,15.0,0.89,0.3723404255319149
16.3,53.0,1.0,65.0,17.2,0.8150000000000001,0.057803468208092484
19.0,35.0,12.0,17.0,21.3,0.95,0.6
7.1,29.0,15.0,34.0,9.4,0.355,1.8518518518518519
6.7,32.0,8.0,57.0,11.7,0.335,1.0389610389610389
9.6,52.0,17.0,56.0,17.2,0.48,1.6037735849056605
11.8,28.0,2.0,28.0,14.5,0.5900000000000001,0.15625
6.0,49.0,10.0,83.0,10.5,0.3,1.4285714285714286
4.1,27.0,0.0,100.0,9.1,0.205,0.0
15.9,25.0,4.0,81.0,16.8,0.795,0.2366863905325444
7.5,55.0,1.0,6.0,7.8,0.375,0.11764705882352941
15.9,58.0,20.0,75.0,25.2,0.795,1.183431952662722
18.7,43.0,7.0,25.0,17.9,0.9349999999999999,0.3553299492385787
10.2,45.0,4.0,25.0,13.7,0.51,0.35714285714285715
5.2,33.0,8.0,90.0,9.5,0.26,1.2903225806451613
11.1,49.0,13.0,16.0,15.4,0.5549999999999999,1.0743801652892562
18.6,29.0,18.0,75.0,21.9,0.93,0.9183673469387754
9.5,56.0,0.0,81.0,14.5,0.475,0.0
3.8,60.0,19.0,31.0,9.7,0.19,3.9583333333333335
13.5,41.0,9.0,34.0,16.5,0.675,0.6206896551724138
11.8,33.0,3.0,6.0,12.0,0.5900000000000001,0.234375
4.2,32.0,10.0,22.0,10.5,0.21000000000000002,1.923076923076923
19.6,60.0,8.0,59.0,16.0,0.9800000000000001,0.3883495145631068
14.7,59.0,4.0,65.0,14.4,0.735,0.25477707006369427
3.6,41.0,11.0,20.0,4.7,0.18,2.3913043478260874
11.8,54.0,14.0,56.0,13.5,0.5900000000000001,1.09375
19.2,31.0,10.0,88.0,26.3,0.96,0.49504950495049505
9.8,24.0,8.0,55.0,9.8,0.49000000000000005,0.7407407407407407
6.4,32.0,16.0,28.0,12.0,0.32,2.162162162162162
17.6,30.0,12.0,64.0,22.3,0.8800000000000001,0.6451612903225806
9.9,59.0,15.0,76.0,13.4,0.495,1.3761467889908257
16.2,50.0,8.0,53.0,15.7,0.8099999999999999,0.46511627906976744
16.5,32.0,3.0,21.0,16.5,0.825,0.17142857142857143
18.9,27.0,15.0,56.0,18.5,0.945,0.7537688442211056
1.9,50.0,7.0,100.0,5.3,0.095,2.413793103448276
4.2,50.0,11.0,25.0,7.3,0.21000000000000002,2.1153846153846154
3.6,46.0,8.0,4.0,8.1,0.18,1.7391304347826089
5.9,21.0,6.0,61.0,10.7,0.29500000000000004,0.8695652173913043
12.6,46.0,14.0,87.0,14.9,0.63,1.0294117647058825
9.0,55.0,2.0,97.0,13.9,0.45,0.2
19.9,31.0,11.0,26.0,22.9,0.9949999999999999,0.5263157894736843
12.2,46.0,17.0,25.0,16.2,0.61,1.2878787878787878
0.8,53.0,8.0,17.0,5.5,0.04,4.444444444444445
12.3,43.0,13.0,54.0,16.1,0.615,0.9774436090225563
16.6,55.0,17.0,15.0,17.1,0.8300000000000001,0.9659090909090908
0.4,24.0,4.0,3.0,7.7,0.02,2.857142857142857
5.0,41.0,6.0,79.0,8.5,0.25,1.0
15.4,26.0,18.0,72.0,21.5,0.77,1.0975609756097562
5.7,50.0,16.0,50.0,11.1,0.28500000000000003,2.388059701492537
17.8,34.0,14.0,49.0,20.9,0.89,0.7446808510638298
1.9,49.0,8.0,27.0,10.0,0.095,2.7586206896551726
16.2,55.0,1.0,23.0,16.6,0.8099999999999999,0.05813953488372093
9.1,55.0,2.0,0.0,9.7,0.45499999999999996,0.19801980198019803
12.0,35.0,7.0,84.0,16.8,0.6,0.5384615384615384
17.3,43.0,10.0,46.0,20.7,0.865,0.5464480874316939
3.3,23.0,17.0,98.0,15.1,0.16499999999999998,3.9534883720930236
2.2,31.0,0.0,18.0,2.1,0.11000000000000001,0.0
15.6,46.0,19.0,58.0,18.5,0.78,1.1445783132530118
8.8,40.0,3.0,36.0,13.1,0.44000000000000006,0.3061224489795918
4.4,59.0,13.0,25.0,10.1,0.22000000000000003,2.4074074074074074
19.3,30.0,15.0,66.0,23.3,0.9650000000000001,0.7389162561576355
6.2,31.0,8.0,54.0,9.9,0.31,1.1111111111111112
2.9,47.0,15.0,9.0,7.4,0.145,3.8461538461538463
2.8,55.0,13.0,0.0,10.0,0.13999999999999999,3.4210526315789473
14.7,41.0,12.0,44.0,15.4,0.735,0.7643312101910829
15.0,27.0,7.0,71.0,16.4,0.75,0.4375
1.1,25.0,10.0,50.0,8.3,0.05500000000000001,4.761904761904762
7.0,35.0,3.0,23.0,10.1,0.35,0.375
10.6,43.0,6.0,0.0,13.6,0.53,0.5172413793103449
8.1,48.0,14.0,21.0,12.8,0.40499999999999997,1.5384615384615385
10.7,55.0,9.0,76.0,20.0,0.5349999999999999,0.7692307692307693
10.0,42.0,16.0,99.0,15.2,0.5,1.4545454545454546
3.8,57.0,4.0,15.0,6.8,0.19,0.8333333333333334
6.3,56.0,0.0,92.0,8.9,0.315,0.0
6.4,21.0,1.0,65.0,8.0,0.32,0.13513513513513511
3.3,57.0,18.0,79.0,13.2,0.16499999999999998,4.186046511627907
14.8,33.0,18.0,17.0,16.2,0.74,1.1392405063291138
14.5,22.0,12.0,25.0,15.3,0.725,0.7741935483870968
8.2,54.0,15.0,2.0,10.9,0.41,1.6304347826086958
9.9,54.0,8.0,72.0,12.7,0.495,0.7339449541284403
8.5,34.0,14.0,24.0,14.7,0.425,1.4736842105263157
9.6,22.0,2.0,9.0,15.8,0.48,0.18867924528301888
7.1,48.0,4.0,18.0,9.9,0.355,0.4938271604938272
1.1,54.0,9.0,35.0,6.3,0.05500000000000001,4.285714285714286
9.9,30.0,12.0,29.0,12.0,0.495,1.1009174311926606
4.2,59.0,4.0,52.0,12.3,0.21000000000000002,0.7692307692307692
8.4,45.0,1.0,41.0,11.8,0.42000000000000004,0.10638297872340426
15.9,52.0,6.0,32.0,19.1,0.795,0.3550295857988166
15.1,52.0,18.0,87.0,18.8,0.755,1.1180124223602483
13.7,40.0,10.0,17.0,13.9,0.6849999999999999,0.6802721088435374
7.1,39.0,6.0,96.0,14.3,0.355,0.7407407407407408
9.7,40.0,14.0,9.0,13.7,0.485,1.3084112149532712
1.9,40.0,8.0,0.0,3.4,0.095,2.7586206896551726
8.1,49.0,3.0,83.0,11.7,0.40499999999999997,0.32967032967032966
9.3,22.0,18.0,37.0,16.6,0.465,1.7475728155339805
18.8,30.0,12.0,82.0,21.9,0.9400000000000001,0.6060606060606061
15.8,21.0,19.0,80.0,18.5,0.79,1.130952380952381
9.8,42.0,15.0,29.0,12.8,0.49000000000000005,1.3888888888888888
14.7,34.0,10.0,98.0,15.3,0.735,0.6369426751592357
13.4,22.0,17.0,34.0,16.1,0.67,1.1805555555555556
17.3,52.0,16.0,54.0,22.9,0.865,0.8743169398907104
16.4,55.0,18.0,33.0,21.0,0.82,1.0344827586206897
11.2,59.0,13.0,70.0,15.4,0.5599999999999999,1.0655737704918034
19.6,48.0,4.0,82.0,21.7,0.9800000000000001,0.1941747572815534
2.7,47.0,12.0,59.0,8.0,0.135,3.243243243243243
5.1,55.0,6.0,73.0,8.4,0.255,0.9836065573770493
16.0,26.0,18.0,93.0,18.7,0.8,1.0588235294117647
11.6,40.0,8.0,15.0,11.2,0.58,0.6349206349206349
13.9,33.0,15.0,24.0,16.9,0.6950000000000001,1.006711409395973
10.3,28.0,20.0,82.0,15.3,0.515,1.7699115044247786
4.1,28.0,3.0,56.0,6.5,0.205,0.5882352941176471
17.1,38.0,12.0,89.0,20.1,0.8550000000000001,0.6629834254143646
15.9,34.0,18.0,9.0,19.8,0.795,1.0650887573964498
16.7,21.0,12.0,73.0,17.5,0.835,0.6779661016949153
4.6,33.0,18.0,18.0,10.1,0.22999999999999998,3.2142857142857144
7.5,29.0,4.0,23.0,13.8,0.375,0.47058823529411764
4.9,56.0,17.0,54.0,11.0,0.24500000000000002,2.8813559322033897
4.0,47.0,14.0,69.0,10.7,0.2,2.8
1.8,42.0,16.0,6.0,7.5,0.09,5.714285714285714
9.8,29.0,7.0,95.0,11.4,0.49000000000000005,0.6481481481481481
6.7,21.0,10.0,78.0,13.7,0.335,1.2987012987012987
7.9,39.0,17.0,79.0,9.8,0.395,1.9101123595505618
16.9,53.0,13.0,19.0,15.5,0.845,0.7262569832402235
6.1,38.0,12.0,61.0,12.7,0.305,1.6901408450704227
0.0,60.0,7.0,92.0,4.4,0.0,7.0
6.4,21.0,0.0,88.0,10.7,0.32,0.0
2.1,40.0,7.0,84.0,14.1,0.10500000000000001,2.258064516129032
0.6,32.0,0.0,49.0,5.9,0.03,0.0
12.8,29.0,19.0,74.0,19.3,0.64,1.3768115942028984
0.2,40.0,20.0,40.0,6.4,0.01,16.666666666666668
1.9,21.0,9.0,39.0,6.4,0.095,3.103448275862069
19.3,54.0,9.0,6.0,23.0,0.9650000000000001,0.44334975369458124
4.9,23.0,13.0,58.0,13.3,0.24500000000000002,2.2033898305084745
2.4,27.0,3.0,63.0,7.0,0.12,0.8823529411764706
19.0,30.0,6.0,70.0,21.8,0.95,0.3
15.6,46.0,3.0,10.0,19.2,0.78,0.18072289156626503
4.8,57.0,3.0,32.0,7.0,0.24,0.5172413793103449
17.4,47.0,3.0,68.0,20.6,0.8699999999999999,0.16304347826086957
6.6,40.0,8.0,24.0,11.0,0.32999999999999996,1.0526315789473684
16.3,52.0,4.0,24.0,15.8,0.8150000000000001,0.23121387283236994
8.5,29.0,4.0,54.0,12.8,0.425,0.42105263157894735
3.9,55.0,1.0,66.0,6.2,0.195,0.2040816326530612
14.8,52.0,3.0,53.0,14.3,0.74,0.18987341772151897
19.8,33.0,0.0,46.0,21.1,0.99,0.0
1.8,38.0,4.0,8.0,1.4,0.09,1.4285714285714286
10.7,60.0,17.0,23.0,12.6,0.5349999999999999,1.4529914529914532
13.6,33.0,9.0,98.0,18.0,0.6799999999999999,0.6164383561643836
15.5,23.0,5.0,38.0,18.4,0.775,0.30303030303030304
19.8,32.0,16.0,2.0,20.2,0.99,0.7692307692307692
9.1,42.0,9.0,11.0,10.8,0.45499999999999996,0.8910891089108911
0.8,32.0,1.0,15.0,2.6,0.04,0.5555555555555556
7.8,35.0,3.0,61.0,9.5,0.39,0.3409090909090909
0.2,23.0,20.0,85.0,9.8,0.01,16.666666666666668
18.4,47.0,5.0,5.0,17.7,0.9199999999999999,0.2577319587628866
19.9,41.0,19.0,33.0,22.0,0.9949999999999999,0.9090909090909092
3.0,58.0,7.0,15.0,4.5,0.15,1.75
1.9,27.0,19.0,48.0,8.8,0.095,6.551724137931035
4.2,46.0,14.0,43.0,10.1,0.21000000000000002,2.692307692307692
18.0,51.0,18.0,97.0,20.0,0.9,0.9473684210526315
3.7,27.0,10.0,69.0,13.7,0.185,2.127659574468085
19.7,34.0,4.0,59.0,24.6,0.985,0.1932367149758454
10.1,36.0,9.0,83.0,13.6,0.505,0.8108108108108109
6.5,39.0,14.0,58.0,13.9,0.325,1.8666666666666667
1.9,54.0,13.0,82.0,7.6,0.095,4.482758620689656
2.1,27.0,20.0,36.0,6.0,0.10500000000000001,6.451612903225806
6.5,38.0,12.0,64.0,12.0,0.325,1.6
0.9,46.0,6.0,63.0,6.9,0.045,3.1578947368421053
16.6,43.0,7.0,4.0,19.9,0.8300000000000001,0.3977272727272727
11.7,47.0,1.0,23.0,12.6,0.585,0.07874015748031496
1.9,54.0,1.0,60.0,8.1,0.095,0.3448275862068966
12.7,32.0,13.0,72.0,15.7,0.635,0.9489051094890512
19.3,26.0,4.0,22.0,21.2,0.9650000000000001,0.19704433497536944
7.1,39.0,1.0,40.0,8.0,0.355,0.1234567901234568
6.7,46.0,12.0,47.0,15.2,0.335,1.5584415584415585
15.1,49.0,11.0,65.0,21.0,0.755,0.6832298136645962
6.5,58.0,3.0,60.0,10.6,0.325,0.4
10.0,40.0,19.0,56.0,16.6,0.5,1.7272727272727273
10.8,42.0,4.0,0.0,9.4,0.54,0.3389830508474576
17.5,48.0,19.0,43.0,22.0,0.875,1.027027027027027
15.4,46.0,0.0,54.0,18.9,0.77,0.0
14.7,42.0,7.0,27.0,14.9,0.735,0.445859872611465
6.2,36.0,3.0,20.0,6.4,0.31,0.41666666666666663
8.7,38.0,16.0,80.0,12.0,0.43499999999999994,1.6494845360824744
14.6,34.0,1.0,86.0,15.5,0.73,0.06410256410256411
9.9,36.0,11.0,28.0,17.6,0.495,1.0091743119266054
16.3,59.0,17.0,73.0,21.2,0.8150000000000001,0.9826589595375722
19.0,30.0,6.0,53.0,16.9,0.95,0.3
12.1,41.0,20.0,50.0,18.0,0.605,1.5267175572519085
7.2,58.0,18.0,38.0,7.6,0.36,2.1951219512195124
2.1,21.0,19.0,10.0,10.0,0.10500000000000001,6.129032258064516
11.8,52.0,3.0,98.0,16.1,0.5900000000000001,0.234375
14.9,23.0,20.0,71.0,18.9,0.745,1.2578616352201257
4.6,40.0,4.0,16.0,7.5,0.22999999999999998,0.7142857142857143
7.1,45.0,13.0,54.0,12.7,0.355,1.6049382716049383
17.1,54.0,0.0,91.0,19.7,0.8550000000000001,0.0
9.4,37.0,8.0,46.0,13.7,0.47000000000000003,0.7692307692307692
8.9,32.0,3.0,33.0,9.8,0.445,0.30303030303030304
1.9,58.0,14.0,96.0,8.7,0.095,4.827586206896552
16.5,35.0,13.0,25.0,21.5,0.825,0.7428571428571429
8.0,23.0,13.0,26.0,8.9,0.4,1.4444444444444444
4.2,31.0,6.0,56.0,6.0,0.21000000000000002,1.1538461538461537
15.0,30.0,18.0,30.0,19.4,0.75,1.125
16.5,45.0,15.0,28.0,22.9,0.825,0.8571428571428571
7.5,35.0,6.0,0.0,9.1,0.375,0.7058823529411765
0.2,42.0,20.0,62.0,6.8,0.01,16.666666666666668
2.1,33.0,9.0,51.0,8.7,0.10500000000000001,2.903225806451613
14.2,39.0,2.0,10.0,13.1,0.71,0.13157894736842105
1.5,37.0,5.0,46.0,2.8,0.075,2.0
4.2,42.0,20.0,21.0,9.8,0.21000000000000002,3.846153846153846
2.0,44.0,10.0,65.0,6.2,0.1,3.3333333333333335
15.9,59.0,10.0,50.0,16.8,0.795,0.591715976331361
13.2,59.0,18.0,0.0,16.2,0.6599999999999999,1.267605633802817
13.7,25.0,3.0,72.0,17.9,0.6849999999999999,0.20408163265306123
1.6,46.0,19.0,65.0,7.6,0.08,7.3076923076923075
18.6,37.0,14.0,11.0,19.3,0.93,0.7142857142857142
18.1,22.0,10.0,28.0,18.7,0.905,0.5235602094240838
5.1,32.0,6.0,80.0,7.8,0.255,0.9836065573770493
19.4,46.0,20.0,9.0,23.0,0.97,0.9803921568627452
3.7,42.0,2.0,34.0,5.8,0.185,0.425531914893617
9.4,47.0,19.0,41.0,15.8,0.47000000000000003,1.8269230769230769
2.6,34.0,2.0,49.0,5.5,0.13,0.5555555555555556
6.1,34.0,12.0,72.0,10.9,0.305,1.6901408450704227
12.8,53.0,13.0,78.0,15.8,0.64,0.9420289855072463
9.2,29.0,13.0,17.0,13.7,0.45999999999999996,1.2745098039215688
5.7,40.0,11.0,68.0,11.2,0.28500000000000003,1.6417910447761193
16.0,36.0,3.0,62.0,16.0,0.8,0.17647058823529413
11.1,46.0,19.0,4.0,13.6,0.5549999999999999,1.5702479338842976
10.4,43.0,12.0,97.0,14.7,0.52,1.0526315789473684
11.9,51.0,18.0,26.0,17.1,0.595,1.3953488372093024
5.0,51.0,5.0,42.0,8.8,0.25,0.8333333333333334
15.5,21.0,13.0,78.0,19.4,0.775,0.7878787878787878
17.1,37.0,17.0,62.0,22.0,0.8550000000000001,0.9392265193370165
7.5,24.0,16.0,50.0,13.1,0.375,1.8823529411764706
5.2,42.0,12.0,29.0,8.2,0.26,1.9354838709677418
14.4,27.0,0.0,18.0,15.2,0.72,0.0
0.3,47.0,5.0,54.0,4.6,0.015,3.846153846153846
5.0,48.0,11.0,63.0,8.9,0.25,1.8333333333333333
8.4,21.0,6.0,99.0,14.0,0.42000000000000004,0.6382978723404255
2.0,46.0,16.0,39.0,8.2,0.1,5.333333333333333
14.1,28.0,20.0,96.0,21.3,0.705,1.3245033112582782
19.0,45.0,20.0,26.0,21.3,0.95,1.0
19.0,51.0,3.0,57.0,19.7,0.95,0.15
6.1,40.0,6.0,39.0,8.2,0.305,0.8450704225352114
17.7,59.0,15.0,85.0,18.1,0.885,0.8021390374331551
0.8,48.0,7.0,9.0,1.7,0.04,3.888888888888889
15.6,48.0,19.0,6.0,16.7,0.78,1.1445783132530118
9.0,54.0,14.0,67.0,14.1,0.45,1.4
2.8,21.0,18.0,74.0,10.4,0.13999999999999999,4.736842105263158
14.5,34.0,9.0,55.0,17.4,0.725,0.5806451612903226
16.7,51.0,8.0,80.0,18.7,0.835,0.4519774011299435
11.0,22.0,2.0,27.0,11.7,0.55,0.16666666666666666
1.4,43.0,10.0,15.0,7.8,0.06999999999999999,4.166666666666667
8.8,31.0,18.0,63.0,13.0,0.44000000000000006,1.8367346938775508
6.1,27.0,9.0,81.0,10.5,0.305,1.267605633802817
3.6,37.0,0.0,8.0,4.7,0.18,0.0
9.6,23.0,6.0,81.0,11.1,0.48,0.5660377358490566
4.2,52.0,17.0,27.0,7.7,0.21000000000000002,3.269230769230769
19.8,41.0,1.0,96.0,21.3,0.99,0.04807692307692307
16.2,56.0,6.0,24.0,21.6,0.8099999999999999,0.3488372093023256
13.0,51.0,20.0,87.0,19.9,0.65,1.4285714285714286
9.1,23.0,9.0,65.0,11.2,0.45499999999999996,0.8910891089108911
18.0,29.0,20.0,75.0,23.0,0.9,1.0526315789473684
2.7,45.0,7.0,3.0,5.0,0.135,1.8918918918918919
0.6,36.0,11.0,9.0,8.0,0.03,6.875
12.1,31.0,2.0,54.0,15.3,0.605,0.15267175572519084
4.0,25.0,2.0,0.0,6.5,0.2,0.4
15.5,41.0,1.0,11.0,15.9,0.775,0.06060606060606061
17.0,55.0,1.0,57.0,18.3,0.85,0.05555555555555555
18.6,44.0,10.0,89.0,24.1,0.93,0.5102040816326531
16.5,46.0,3.0,1.0,18.7,0.825,0.17142857142857143
14.3,42.0,13.0,66.0,14.4,0.7150000000000001,0.8496732026143791
18.9,42.0,1.0,84.0,20.5,0.945,0.05025125628140704
3.1,52.0,2.0,54.0,9.2,0.155,0.48780487804878053
14.8,41.0,11.0,99.0,18.0,0.74,0.6962025316455696
6.6,29.0,16.0,44.0,12.6,0.32999999999999996,2.1052631578947367
16.1,56.0,13.0,89.0,15.5,0.805,0.7602339181286549
12.3,55.0,18.0,49.0,19.0,0.615,1.3533834586466165
8.7,26.0,19.0,48.0,14.3,0.43499999999999994,1.9587628865979383
19.6,52.0,19.0,84.0,24.9,0.9800000000000001,0.9223300970873786
15.5,26.0,17.0,53.0,18.1,0.775,1.0303030303030303
18.6,27.0,16.0,74.0,19.2,0.93,0.8163265306122448
2.9,44.0,18.0,22.0,9.5,0.145,4.615384615384616
9.6,32.0,6.0,78.0,15.1,0.48,0.5660377358490566
9.7,28.0,0.0,67.0,14.2,0.485,0.0
5.4,34.0,2.0,24.0,7.3,0.27,0.3125
3.3,30.0,6.0,70.0,7.0,0.16499999999999998,1.3953488372093024
15.8,34.0,16.0,97.0,19.0,0.79,0.9523809523809523
8.3,50.0,0.0,15.0,8.8,0.41500000000000004,0.0
12.3,57.0,12.0,69.0,19.4,0.615,0.9022556390977443
15.6,45.0,18.0,19.0,17.8,0.78,1.0843373493975903
19.5,21.0,20.0,26.0,21.3,0.975,0.975609756097561
19.7,38.0,5.0,20.0,19.0,0.985,0.24154589371980678
17.7,26.0,0.0,81.0,15.1,0.885,0.0
19.3,29.0,4.0,83.0,18.8,0.9650000000000001,0.19704433497536944
15.1,57.0,1.0,92.0,13.2,0.755,0.06211180124223602
3.5,48.0,17.0,27.0,8.1,0.175,3.7777777777777777
14.1,44.0,17.0,61.0,15.2,0.705,1.1258278145695364
11.8,49.0,0.0,69.0,10.8,0.5900000000000001,0.0
9.2,25.0,12.0,83.0,16.2,0.45999999999999996,1.1764705882352942
7.8,44.0,12.0,49.0,10.4,0.39,1.3636363636363635
13.8,30.0,17.0,29.0,14.7,0.6900000000000001,1.1486486486486487
7.2,24.0,9.0,49.0,8.9,0.36,1.0975609756097562
11.1,35.0,12.0,41.0,13.5,0.5549999999999999,0.9917355371900827
1.2,33.0,7.0,31.0,5.6,0.06,3.1818181818181817
2.1,21.0,18.0,40.0,6.8,0.10500000000000001,5.806451612903226
4.1,59.0,7.0,72.0,7.5,0.205,1.3725490196078431
17.2,29.0,13.0,16.0,15.4,0.86,0.7142857142857143
6.1,56.0,18.0,98.0,12.2,0.305,2.535211267605634
9.9,58.0,20.0,71.0,17.7,0.495,1.8348623853211008
7.2,36.0,8.0,66.0,8.4,0.36,0.9756097560975611
18.3,54.0,15.0,48.0,20.6,0.915,0.7772020725388601
9.1,26.0,1.0,42.0,11.7,0.45499999999999996,0.09900990099009901
1.1,30.0,4.0,84.0,6.9,0.05500000000000001,1.9047619047619047
5.8,50.0,16.0,37.0,13.9,0.29,2.3529411764705883
3.4,36.0,2.0,65.0,5.8,0.16999999999999998,0.45454545454545453
1.4,58.0,4.0,30.0,6.5,0.06999999999999999,1.6666666666666667
2.6,26.0,17.0,61.0,9.6,0.13,4.722222222222222
10.4,45.0,16.0,36.0,10.7,0.52,1.4035087719298245
12.6,34.0,1.0,92.0,13.5,0.63,0.07352941176470588
15.1,42.0,17.0,26.0,19.7,0.755,1.0559006211180124
5.9,28.0,12.0,75.0,11.6,0.29500000000000004,1.7391304347826086
16.7,48.0,4.0,89.0,18.2,0.835,0.22598870056497175
13.2,33.0,3.0,35.0,15.1,0.6599999999999999,0.21126760563380284
12.0,53.0,6.0,30.0,14.9,0.6,0.46153846153846156
2.6,22.0,19.0,31.0,8.3,0.13,5.277777777777778
19.8,28.0,3.0,92.0,18.5,0.99,0.14423076923076922
3.9,33.0,14.0,75.0,8.1,0.195,2.8571428571428568
11.6,21.0,16.0,42.0,14.7,0.58,1.2698412698412698
19.5,33.0,18.0,52.0,23.4,0.975,0.8780487804878049
9.4,36.0,4.0,70.0,12.5,0.47000000000000003,0.3846153846153846
13.8,46.0,12.0,12.0,14.9,0.6900000000000001,0.8108108108108107
10.6,53.0,2.0,51.0,12.0,0.53,0.1724137931034483
16.8,29.0,3.0,79.0,18.1,0.8400000000000001,0.16853932584269662
7.1,58.0,12.0,91.0,11.9,0.355,1.4814814814814816
0.8,26.0,19.0,38.0,7.1,0.04,10.555555555555555
1.9,52.0,3.0,48.0,7.2,0.095,1.0344827586206897
6.4,50.0,7.0,63.0,15.2,0.32,0.9459459459459459
14.1,46.0,5.0,27.0,14.4,0.705,0.33112582781456956
13.4,23.0,2.0,44.0,15.1,0.67,0.1388888888888889
12.0,23.0,10.0,40.0,15.5,0.6,0.7692307692307693
18.3,21.0,11.0,50.0,22.9,0.915,0.5699481865284974
19.8,41.0,9.0,68.0,23.9,0.99,0.43269230769230765
15.5,47.0,1.0,78.0,20.6,0.775,0.06060606060606061
11.8,59.0,15.0,32.0,14.7,0.5900000000000001,1.171875
10.0,57.0,2.0,95.0,14.7,0.5,0.18181818181818182
17.0,55.0,15.0,1.0,20.0,0.85,0.8333333333333334
9.7,48.0,5.0,33.0,15.7,0.485,0.4672897196261683
